Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,機能 (product.metafields.custom._function),仕様・材質 (product.metafields.custom._material),サイズ (product.metafields.custom._size),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),商品評価数 (product.metafields.reviews.rating_count),サイト内検索 (product.metafields.seo.hidden),色 (product.metafields.shopify.color-pattern),食料品の形態 (product.metafields.shopify.food-product-form),ユーザーの種類 (product.metafields.shopify.user-type),付属商品 (product.metafields.shopify--discovery--product_recommendation.complementary_products),関連商品 (product.metafields.shopify--discovery--product_recommendation.related_products),関連商品の設定 (product.metafields.shopify--discovery--product_recommendation.related_products_display),販売促進する商品を検索する (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Japan,Price / Japan,Compare At Price / Japan,Included / International,Price / International,Compare At Price / International,Status
test-test_test,テストテスト決済用,,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,,false,テスト入り数,テスト50,,,,,,,,,0.0,shopify,continue,manual,1,,true,true,,,,,false,,,,,,,,,,,,,,,ブラウンカード,外寸：W152×D105×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,draft
test-2352,テスト冷凍大福10個入 仕切り 木型代,,テストHacomarche,Uncategorized,,,false,テスト入数,テスト1,,,,,,,,,0.0,,deny,manual,30250,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2351,テスト㈱のりの太丸 冷凍大福10個入 仕切り,,テストHacomarche,Uncategorized,,,false,テスト入数,テスト500,,,,,,,,,0.0,,deny,manual,32450,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2351,,,,,,,,,テスト1000,,,,,,,,,0.0,,deny,manual,37400,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2351,,,,,,,,,テスト2000,,,,,,,,,0.0,,deny,manual,50600,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2350,テストどらやき8個入 仕切り 木型代,,テストHacomarche,Uncategorized,,,false,テスト入数,テスト1,,,,,,,,,0.0,,deny,manual,24200,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2349,テスト㈱のりの太丸様 どらやき8個入 仕切り,,テストHacomarche,Uncategorized,,,false,テスト入数,テスト500,,,,,,,,,0.0,,deny,manual,35750,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2349,,,,,,,,,テスト1000,,,,,,,,,0.0,,deny,manual,46200,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2349,,,,,,,,,テスト2000,,,,,,,,,0.0,,deny,manual,59400,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2348,テストどらやき4個入 仕切り 木型代,,テストHacomarche,Uncategorized,,,false,テスト入数,テスト1,,,,,,,,,0.0,,deny,manual,33000,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2347,テスト㈱のりの太丸様 どらやき4個入 仕切り,,テストHacomarche,Uncategorized,,,false,テスト入数,テスト500,,,,,,,,,0.0,,deny,manual,31900,,true,true,,,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2347,,,,,,,,,テスト1000,,,,,,,,,0.0,,deny,manual,34100,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2347,,,,,,,,,テスト2000,,,,,,,,,0.0,,deny,manual,42900,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2346,テスト【サンプル】菓子箱6号(ライトプルーフ),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,55,,true,true,,,1,,false,,,,,,,,,,,,,,,ブラウンカード,外寸：W152×D105×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2345,テスト菓子箱6号(ライトプルーフ),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト50,,,,,,,,,0.0,shopify,deny,manual,2475,,true,true,,,1,,false,,,,,,,,,,,,,,,ブラウンカード,外寸：W152×D105×H45mm,,'0,,,,,,,,,,kg,,,true,,,true,,,active
test-2345,,,,,,,,,テスト100,,,,,,,,,0.0,shopify,deny,manual,3850,,true,true,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2345,,,,,,,,,テスト200,,,,,,,,,0.0,shopify,deny,manual,7040,,true,true,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
test-2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2345,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-2344,テスト【サンプル】菓子箱6号(nwホワイト),,テストHacomarche,Business & Industrial > Food Service > Take-Out Containers,テストギフト用箱,一般顧客,true,テスト入り数,テスト1,,,,,,,,,0.0,,deny,manual,55,,true,true,,,1,,false,,,,,,,,,,,,,,,かさ高軽量紙,"外寸：W152×D105×H45mm     ",,'0,,,,,,,,,,kg,,,true,,,true,,,active
