Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,機能 (product.metafields.custom._function),仕様・材質 (product.metafields.custom._material),サイズ (product.metafields.custom._size),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),商品評価数 (product.metafields.reviews.rating_count),サイト内検索 (product.metafields.seo.hidden),色 (product.metafields.shopify.color-pattern),食料品の形態 (product.metafields.shopify.food-product-form),ユーザーの種類 (product.metafields.shopify.user-type),付属商品 (product.metafields.shopify--discovery--product_recommendation.complementary_products),関連商品 (product.metafields.shopify--discovery--product_recommendation.related_products),関連商品の設定 (product.metafields.shopify--discovery--product_recommendation.related_products_display),販売促進する商品を検索する (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Japan,Price / Japan,Compare At Price / Japan,Included / International,Price / International,Compare At Price / International,Status
test_test,テスト決済用,"",Hacomarche,Business & Industrial > Food Service > Take-Out Containers,ギフト用箱,"",false,入り数,50,,,,,,,,"",0.0,shopify,continue,manual,1,,true,true,"",,,,false,,,,,,,,,,,,,,,ブラウンカード,外寸：W152×D105×H45mm,,'0,,,,,2337; 2341; 2335; 2339; 2343; 1495; 667; 1011; 1774; 1778,"",ahead,,,kg,,,true,,,true,,,draft
2352,冷凍大福10個入 仕切り 木型代,"<p>㈱のりの太丸 冷凍大福10個入 仕切り</p>
<div class=""Polaris-LegacyStack__Item""><span data-key=""0"">〒189-0024<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""1"">東京都 東村山市富士見町<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""2"">4-10-7　2階事務所<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""3"">株式会社のりの太丸<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""4"">濱野 美紀様<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""5"">0423944558</span></div>",Hacomarche,Uncategorized,"","",false,入数,1,,,,,,,,ORC003NO,0.0,,deny,manual,30250,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
2351,㈱のりの太丸 冷凍大福10個入 仕切り,"<div class=""Polaris-LegacyStack__Item""><span data-key=""0"">㈱のりの太丸 冷凍大福10個入 仕切り</span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""0""></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""0"">〒189-0024<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""1"">東京都 東村山市富士見町<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""2"">4-10-7　2階事務所<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""3"">株式会社のりの太丸<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""4"">濱野 美紀様<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""5"">0423944558</span></div>",Hacomarche,Uncategorized,"","",false,入数,500,,,,,,,,ORP003NO,0.0,,deny,manual,32450,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
2351,,,,,,,,,1000,,,,,,,,ORP003NO,0.0,,deny,manual,37400,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2351,,,,,,,,,2000,,,,,,,,ORP003NO,0.0,,deny,manual,50600,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2350,どらやき8個入 仕切り 木型代,"<p>どらやき8個入 仕切り 木型代</p>
<div class=""Polaris-LegacyStack__Item""><span data-key=""0"">〒189-0024<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""1"">東京都 東村山市富士見町<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""2"">4-10-7　2階事務所<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""3"">株式会社のりの太丸<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""4"">濱野 美紀様<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""5"">0423944558</span></div>",Hacomarche,Uncategorized,"","",false,入数,1,,,,,,,,ORC002NO,0.0,,deny,manual,24200,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
2349,㈱のりの太丸様 どらやき8個入 仕切り,"<div class=""Polaris-LegacyStack__Item""><span data-key=""0"">㈱のりの太丸様 どらやき8個入 仕切り</span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""0""></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""0"">〒189-0024<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""1"">東京都 東村山市富士見町<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""2"">4-10-7　2階事務所<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""3"">株式会社のりの太丸<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""4"">濱野 美紀様<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""5"">0423944558</span></div>",Hacomarche,Uncategorized,"","",false,入数,500,,,,,,,,ORP002NO,0.0,,deny,manual,35750,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
2349,,,,,,,,,1000,,,,,,,,ORP002NO,0.0,,deny,manual,46200,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2349,,,,,,,,,2000,,,,,,,,ORP002NO,0.0,,deny,manual,59400,,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
2348,どらやき4個入 仕切り 木型代,"<div class=""Polaris-LegacyStack__Item""><span data-key=""0"">どらやき4個入 仕切り　木型代</span></div>
<div class=""Polaris-LegacyStack__Item"">
<span data-key=""0""></span><br>
</div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""0"">〒189-0024<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""1"">東京都 東村山市富士見町<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""2"">4-10-7　2階事務所<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""3"">株式会社のりの太丸<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""4"">濱野 美紀様<br></span></div>
<div class=""Polaris-LegacyStack__Item""><span data-key=""5"">0423944558</span></div>",Hacomarche,Uncategorized,"","",false,入数,1,,,,,,,,ORC001NO,0.0,,deny,manual,33000,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,'0,,,,,,,,,,kg,,,true,,,true,,,active
